Order ID,SalesID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Quantity,Discount,Cost,Sales,Profit,Customer Age,Customer Gender,Day,Month,Year,Quarter
1TH5ZJMSQ8,VNFJQXVH,09-06-2015,14-06-2015,Standard Class,0EQWTZ,Consumer,United States,Los Angeles,California,West,407-5633625-6970741,Furniture,Tables,9,30%,358.79,1706.184,1347.394,30,Female,Tuesday,6,2015,2
KHMR2F8LF1,HU9ZMBO9,09-06-2015,14-06-2015,Standard Class,K4RT6J,Consumer,United States,Los Angeles,California,West,171-4638481-6326716,Technology,Phones,13,41%,35.8,911.424,875.624,59,Male,Tuesday,6,2015,2
XITZNKORR0,M9ZC5XEK,15-04-2018,20-04-2018,Standard Class,9DOVOF,Consumer,United States,Concord,North Carolina,South,405-5513694-8146768,Office Supplies,Paper,8,49%,255.95,15.552,-240.398,53,Female,Sunday,4,2018,1
ZQ0M8H4POA,YUYE4BB1,05-12-2017,10-12-2017,Standard Class,ISPXT7,Consumer,United States,Seattle,Washington,West,408-7955685-3083534,Office Supplies,Binders,13,39%,475.4,407.976,-67.424,18,Male,Tuesday,12,2017,4
HVRUL6S53E,VYTKX6EW,22-11-2016,26-11-2016,Standard Class,9542G8,Home Office,United States,Fort Worth,Texas,Central,408-1298370-1920302,Office Supplies,Appliances,1,25%,182.23,68.81,-113.42,31,Male,Tuesday,11,2016,4
TQGI3FI9EO,HBNWL5YM,22-11-2016,26-11-2016,Standard Class,ETSTSD,Home Office,United States,Fort Worth,Texas,Central,403-4965581-9520319,Office Supplies,Binders,12,29%,369.5,2.544,-366.956,55,Female,Tuesday,11,2016,4
G6KZ2YN1B3,X3EHM3TM,11-11-2015,18-11-2015,Standard Class,T892M2,Consumer,United States,Madison,Wisconsin,Central,406-9379318-6555504,Office Supplies,Storage,12,29%,468.01,665.88,197.87,36,Female,Wednesday,11,2015,4
TQ2EZJ58ZD,JQ6WC1SK,13-05-2015,15-05-2015,Second Class,PKTDBO,Consumer,United States,West Jordan,Utah,West,405-9013803-8009918,Office Supplies,Storage,9,2%,66.92,55.5,-11.42,53,Female,Wednesday,5,2015,2
C617P1FXGK,9QSEKDBV,27-08-2015,01-09-2015,Second Class,0AE0A8,Consumer,United States,San Francisco,California,West,402-4030358-5835511,Office Supplies,Art,1,19%,308.48,8.56,-299.92,28,Female,Thursday,8,2015,3
BY7QIJECYH,XV5H65O0,27-08-2015,01-09-2015,Second Class,E03N9G,Consumer,United States,San Francisco,California,West,405-5957858-1051546,Technology,Phones,14,21%,285.94,213.48,-72.46,37,Female,Thursday,8,2015,3
YN47XKPA7R,6UZSYKQQ,27-08-2015,01-09-2015,Second Class,4X8IUZ,Consumer,United States,San Francisco,California,West,405-0607769-0716360,Office Supplies,Binders,14,6%,251.86,22.72,-229.14,62,Female,Thursday,8,2015,3
UC8F244JVB,P5LEA8B5,09-12-2017,13-12-2017,Standard Class,KZ6SBU,Corporate,United States,Fremont,Nebraska,Central,404-8494550-5860325,Office Supplies,Art,6,2%,260.42,19.46,-240.96,45,Female,Saturday,12,2017,4
10BWNG153S,GTUEK8KK,09-12-2017,13-12-2017,Standard Class,4G8VJ9,Corporate,United States,Fremont,Nebraska,Central,171-1305077-2813934,Office Supplies,Appliances,16,0%,205.41,60.34,-145.07,27,Female,Saturday,12,2017,4
6EAROS7IU4,IDYRM65T,16-07-2018,18-07-2018,Second Class,G9246R,Consumer,United States,Philadelphia,Pennsylvania,East,404-6019946-2909948,Furniture,Chairs,8,18%,76.49,71.372,-5.118,66,Male,Monday,7,2018,2
7FXF3T25LC,AR0I7N7M,25-09-2016,30-09-2016,Standard Class,XL080C,Consumer,United States,Orem,Utah,West,402-3384087-4005164,Furniture,Tables,19,12%,112.96,1044.63,931.67,56,Male,Sunday,9,2016,3
8KP1WEKR2A,1GD73ALL,16-01-2017,20-01-2017,Second Class,0O83MN,Consumer,United States,Los Angeles,California,West,405-8191138-5176316,Office Supplies,Binders,5,28%,37.62,11.648,-25.972,30,Female,Monday,1,2017,0
K4UF6MNCUO,EUEGAYO8,16-01-2017,20-01-2017,Second Class,A25Y9K,Consumer,United States,Los Angeles,California,West,403-9230474-9657916,Technology,Accessories,15,46%,417.24,90.57,-326.67,65,Female,Monday,1,2017,0
0S6D7S28S9,I7PM1B9Z,17-09-2016,21-09-2016,Standard Class,CT0M9Q,Consumer,United States,Philadelphia,Pennsylvania,East,408-3484251-6901959,Furniture,Bookcases,13,2%,17.45,3083.43,3065.98,56,Male,Saturday,9,2016,3
264EQN5LS5,KS98ZB3E,17-09-2016,21-09-2016,Standard Class,7V712Z,Consumer,United States,Philadelphia,Pennsylvania,East,405-7755803-4729935,Office Supplies,Binders,6,22%,121.32,9.618,-111.702,67,Male,Saturday,9,2016,3
59M6P7LKUP,DXDF0CJM,17-09-2016,21-09-2016,Standard Class,VZAHDY,Consumer,United States,Philadelphia,Pennsylvania,East,404-5933402-8801952,Furniture,Furnishings,17,33%,422.81,124.2,-298.61,56,Female,Saturday,9,2016,3
LCIN17IWCO,VQ79JW9K,17-09-2016,21-09-2016,Standard Class,ON546O,Consumer,United States,Philadelphia,Pennsylvania,East,171-9040274-9291563,Office Supplies,Envelopes,5,4%,458.85,3.264,-455.586,23,Male,Saturday,9,2016,3
HXTAGT4990,LBIM0PEX,17-09-2016,21-09-2016,Standard Class,40Y24O,Consumer,United States,Philadelphia,Pennsylvania,East,403-7056319-0979561,Office Supplies,Art,10,31%,168.5,86.304,-82.196,40,Female,Saturday,9,2016,3
R2F5Z52KQP,SLADS8VM,17-09-2016,21-09-2016,Standard Class,S1HFX9,Consumer,United States,Philadelphia,Pennsylvania,East,404-9632124-1107550,Office Supplies,Binders,5,18%,344.55,6.858,-337.692,30,Female,Saturday,9,2016,3
0UIT2PO815,K4P6IJZL,17-09-2016,21-09-2016,Standard Class,GB7L2R,Consumer,United States,Philadelphia,Pennsylvania,East,402-1465437-0579556,Office Supplies,Art,17,38%,22.98,15.76,-7.22,20,Female,Saturday,9,2016,3
5G3I0VE23X,659QRBT5,19-10-2018,23-10-2018,Second Class,IKD7HC,Home Office,United States,Houston,Texas,Central,404-7774085-3780319,Office Supplies,Paper,19,12%,469.95,29.472,-440.478,18,Female,Friday,10,2018,3
RMQ9SEU0RL,2FVA5ZEM,08-12-2017,10-12-2017,First Class,SSHRUC,Corporate,United States,Richardson,Texas,Central,402-2764952-1492318,Technology,Phones,6,6%,113.76,1097.544,983.784,67,Male,Friday,12,2017,4
EBM4WT9BUG,IMRCSNOO,08-12-2017,10-12-2017,First Class,YC0WSB,Corporate,United States,Richardson,Texas,Central,406-0272200-7784379,Furniture,Furnishings,15,5%,83.54,190.92,107.38,42,Female,Friday,12,2017,4
7SQG3M5LIL,XLNMTBP4,27-12-2016,31-12-2016,Standard Class,0V8Y19,Home Office,United States,Houston,Texas,Central,403-4367956-2849158,Office Supplies,Envelopes,4,25%,54.95,113.328,58.378,60,Female,Tuesday,12,2016,4
NT6E7ZIJGI,G9ZA94RR,27-12-2016,31-12-2016,Standard Class,3WQR6J,Home Office,United States,Houston,Texas,Central,dc3cefed-7398-488f-a0cf-de6408182831,Furniture,Bookcases,17,28%,337.75,532.3992,194.6492,47,Male,Tuesday,12,2016,4
6M0KRBM6O8,GZ7XP32X,27-12-2016,31-12-2016,Standard Class,SAIJWI,Home Office,United States,Houston,Texas,Central,403-4242957-8599555,Furniture,Chairs,1,11%,172.8,212.058,39.258,46,Female,Tuesday,12,2016,4
WV2ZZJYM2H,XXL7HGVB,27-12-2016,31-12-2016,Standard Class,6JGGRG,Home Office,United States,Houston,Texas,Central,408-7165704-5643524,Technology,Phones,18,28%,268.18,371.168,102.988,50,Male,Tuesday,12,2016,4
1Z9QFO063V,7RCRSZW1,10-09-2018,15-09-2018,Standard Class,Q91QYT,Corporate,United States,Naperville,Illinois,Central,402-8210765-3935569,Technology,Phones,10,36%,491.54,147.168,-344.372,22,Female,Monday,9,2018,3
YTYRAF4H1X,5QNU3D5W,17-07-2017,22-07-2017,Standard Class,J95ZJI,Corporate,United States,Los Angeles,California,West,406-7398201-3869914,Office Supplies,Storage,19,12%,71.29,77.88,6.59,26,Female,Monday,7,2017,2
F4NK24J4Q5,JOCHORJE,19-09-2018,23-09-2018,Standard Class,7Z0AWR,Corporate,United States,Melbourne,Florida,South,408-3478480-0881162,Office Supplies,Storage,2,1%,288.94,95.616,-193.324,36,Male,Wednesday,9,2018,3
83PKWB0KK6,9W1T74N9,11-03-2017,13-03-2017,First Class,BTFBD1,Corporate,United States,Eagan,Minnesota,Central,402-7595162-9129931,Technology,Accessories,17,42%,152.78,45.98,-106.8,63,Male,Saturday,3,2017,1
T4641MMC4I,EMKO7E0I,11-03-2017,13-03-2017,First Class,QQPEUI,Corporate,United States,Eagan,Minnesota,Central,171-6876154-6233146,Office Supplies,Binders,18,42%,284.7,17.46,-267.24,46,Female,Saturday,3,2017,1
2NTZOSG9UH,YG7ZEY5V,20-10-2015,25-10-2015,Second Class,4M4H2S,Consumer,United States,Westland,Michigan,Central,408-3917043-5314763,Office Supplies,Storage,13,19%,436.16,211.96,-224.2,25,Male,Tuesday,10,2015,3
XMRR8OAV0Q,H0BTB4FJ,20-06-2017,25-06-2017,Standard Class,X55JXH,Consumer,United States,Dover,Delaware,East,408-9281152-6213100,Technology,Accessories,7,47%,339.97,45,-294.97,26,Female,Tuesday,6,2017,2
TVA5KB29UO,PFP60Y4V,20-06-2017,25-06-2017,Standard Class,ZOSI4V,Consumer,United States,Dover,Delaware,East,403-3496411-3082707,Technology,Phones,5,41%,471.08,21.8,-449.28,34,Male,Tuesday,6,2017,2
576V0MZIDS,UMU5XVV7,18-04-2016,22-04-2016,Standard Class,KZX5B0,Consumer,United States,New Albany,Indiana,Central,171-9208368-0157156,Office Supplies,Binders,4,16%,374.22,38.22,-336,40,Female,Monday,4,2016,1
6FVIUM3EOL,K4RBXIWN,18-04-2016,22-04-2016,Standard Class,XKOBBG,Consumer,United States,New Albany,Indiana,Central,408-2137113-0982751,Office Supplies,Labels,7,30%,260.04,75.18,-184.86,60,Female,Monday,4,2016,1
3PJRFYEOHS,9OHAMZCK,18-04-2016,22-04-2016,Standard Class,RC2RLA,Consumer,United States,New Albany,Indiana,Central,402-3628566-9688333,Furniture,Furnishings,5,20%,77.98,6.16,-71.82,33,Female,Monday,4,2016,1
818PHYC7QX,J351Q4O0,18-04-2016,22-04-2016,Standard Class,D5AIB6,Consumer,United States,New Albany,Indiana,Central,408-7138000-9728362,Furniture,Chairs,19,6%,60.84,89.99,29.15,38,Male,Monday,4,2016,1
LN65P1VJCA,A4VLEEX2,11-12-2017,17-12-2017,Standard Class,09NQQ6,Corporate,United States,New York City,New York,East,402-1752649-2274748,Office Supplies,Fasteners,7,21%,166.61,15.26,-151.35,66,Male,Monday,12,2017,4
T7CUCMYNA2,OLUCGUR7,11-12-2017,17-12-2017,Standard Class,X6JMNL,Corporate,United States,New York City,New York,East,402-7944191-1869101,Technology,Phones,13,42%,184.29,1029.95,845.66,39,Female,Monday,12,2017,4
6IIPOG03OG,O4EN5P5D,17-06-2017,18-06-2017,First Class,9BVSTK,Consumer,United States,Troy,New York,East,407-4063876-9566742,Office Supplies,Storage,4,26%,412.16,208.56,-203.6,41,Female,Saturday,6,2017,2
SSYRG01MVR,DL6MKSGB,17-06-2017,18-06-2017,First Class,GV2UWM,Consumer,United States,Troy,New York,East,403-0752752-4656334,Office Supplies,Paper,15,30%,256.76,32.4,-224.36,51,Female,Saturday,6,2017,2
8C11DVSBCV,G6NGBJJV,17-06-2017,18-06-2017,First Class,5QBDYT,Consumer,United States,Troy,New York,East,406-8879861-2081117,Furniture,Chairs,18,18%,265.2,319.41,54.21,20,Female,Saturday,6,2017,2
XVD3NF96SV,2O1Q0QK2,17-06-2017,18-06-2017,First Class,UUF6UP,Consumer,United States,Troy,New York,East,406-8089333-7941903,Office Supplies,Paper,4,9%,498.62,14.56,-484.06,66,Male,Saturday,6,2017,2
4FH38IMF4S,ORC2QXL5,17-06-2017,18-06-2017,First Class,C61WEC,Consumer,United States,Troy,New York,East,171-3072652-6805159,Technology,Accessories,4,29%,320.64,30,-290.64,44,Female,Saturday,6,2017,2
U5ZVIXT5XQ,BABDWH64,17-06-2017,18-06-2017,First Class,1SWZUA,Consumer,United States,Troy,New York,East,171-2592464-6846743,Office Supplies,Binders,2,28%,295.74,48.48,-247.26,29,Female,Saturday,6,2017,2
G29DU3UKTQ,CRA94JIJ,17-06-2017,18-06-2017,First Class,JG87L0,Consumer,United States,Troy,New York,East,404-2262140-4696366,Office Supplies,Art,5,48%,415.85,1.68,-414.17,42,Female,Saturday,6,2017,2
CVL3DLMOCR,W8B8M8HU,24-11-2016,30-11-2016,Standard Class,DOI8DJ,Consumer,United States,Los Angeles,California,West,783dcf11-fff9-4736-a06c-91e4f0c677fd,Technology,Accessories,8,0%,84.51,13.98,-70.53,33,Female,Thursday,11,2016,4
OVLYD8KI0F,36XAHX0W,24-11-2016,30-11-2016,Standard Class,R4YDZA,Consumer,United States,Los Angeles,California,West,405-3594372-1614709,Office Supplies,Binders,11,45%,431.81,25.824,-405.986,65,Male,Thursday,11,2016,4
YN57PTSV77,563YPWTH,24-11-2016,30-11-2016,Standard Class,SB4G40,Consumer,United States,Los Angeles,California,West,407-2974257-4781134,Office Supplies,Paper,11,46%,140.2,146.73,6.53,43,Female,Thursday,11,2016,4
2C1PIJ1N2Y,BPB75N39,24-11-2016,30-11-2016,Standard Class,OCGQN1,Consumer,United States,Los Angeles,California,West,171-4137548-0481151,Furniture,Furnishings,18,12%,152.93,79.76,-73.17,23,Female,Thursday,11,2016,4
RMGQUQTRXY,FNXYWNZG,30-04-2016,05-05-2016,Standard Class,T8KZ1Z,Home Office,United States,Chicago,Illinois,Central,405-4461562-9113959,Furniture,Chairs,19,2%,341.8,213.115,-128.685,40,Female,Saturday,4,2016,1
317UAINT1R,CYD3C7ZV,05-12-2015,10-12-2015,Standard Class,672QNR,Corporate,United States,Gilbert,Arizona,West,404-4535078-5241919,Office Supplies,Art,17,42%,69.37,1113.024,1043.654,69,Female,Saturday,12,2015,4
0V75B1I6CC,ARLN32U7,05-12-2015,10-12-2015,Standard Class,31GH0W,Corporate,United States,Gilbert,Arizona,West,405-8387725-2971512,Technology,Phones,1,8%,97.92,167.968,70.048,52,Female,Saturday,12,2015,4
JZ1KG6G65H,IXHIBXJQ,04-06-2017,06-06-2017,First Class,869DTY,Consumer,United States,Springfield,Virginia,South,405-6480932-8759528,Office Supplies,Paper,5,20%,485.35,75.88,-409.47,47,Female,Sunday,6,2017,2
6BSVTQ44A7,V9Y3ZQUJ,18-09-2017,23-09-2017,Standard Class,89RMZ9,Consumer,United States,New York City,New York,East,405-9966506-3155561,Office Supplies,Binders,3,23%,317.15,4.616,-312.534,30,Male,Monday,9,2017,3
4AZAGAEO9N,2BB64P05,14-09-2018,17-09-2018,Second Class,EP92K3,Consumer,United States,Jackson,Michigan,Central,408-7029737-8028367,Office Supplies,Paper,14,16%,134.45,19.05,-115.4,62,Male,Friday,9,2018,3
UX25BN6CIL,VWGBX7MO,26-04-2016,02-05-2016,Standard Class,FT68WJ,Consumer,United States,Memphis,Tennessee,South,407-2189901-7515567,Furniture,Chairs,2,21%,450.88,831.936,381.056,38,Male,Tuesday,4,2016,1
GYL4D3UZPF,3R21A8LD,26-04-2016,02-05-2016,Standard Class,6YBD4P,Consumer,United States,Memphis,Tennessee,South,402-2105657-2899562,Furniture,Furnishings,3,16%,181.28,97.04,-84.24,64,Female,Tuesday,4,2016,1
K82EVSWQEP,1XSGH5SH,26-04-2016,02-05-2016,Standard Class,BV6682,Consumer,United States,Memphis,Tennessee,South,406-1326801-8886709,Office Supplies,Storage,3,26%,85.81,72.784,-13.026,51,Male,Tuesday,4,2016,1
JET022RILE,E1KVWZYE,09-12-2018,11-12-2018,First Class,17DPHS,Corporate,United States,Houston,Texas,Central,408-7760667-5809130,Office Supplies,Binders,13,2%,490.36,1.248,-489.112,29,Female,Sunday,12,2018,4
WXH128VT7I,OD3QLY7X,09-12-2018,11-12-2018,First Class,0CDHDZ,Corporate,United States,Houston,Texas,Central,405-8457623-9269955,Furniture,Furnishings,8,30%,66.77,9.708,-57.062,64,Female,Sunday,12,2018,4
XE24GA0MLO,P9NQKPNW,09-12-2018,11-12-2018,First Class,57MCPZ,Corporate,United States,Houston,Texas,Central,408-6820155-3521913,Office Supplies,Storage,14,8%,290.77,27.24,-263.53,48,Male,Sunday,12,2018,4
9HP81UG0XW,ZQUOSAE7,26-11-2015,01-12-2015,Second Class,Q60LNJ,Consumer,United States,Houston,Texas,Central,403-6190683-2687538,Furniture,Furnishings,18,49%,377.54,19.3,-358.24,64,Male,Thursday,11,2015,4
P1J27Q1K2H,MOV10Z8I,12-06-2017,15-06-2017,First Class,48RTND,Corporate,United States,Decatur,Alabama,South,408-4069830-3819562,Office Supplies,Appliances,13,32%,466.38,208.16,-258.22,29,Female,Monday,6,2017,2
VIVE411NGE,HCHCQMRH,12-06-2017,15-06-2017,First Class,9HHE7L,Corporate,United States,Decatur,Alabama,South,50efd3a3-101e-40c8-82af-f8d2d863e025,Office Supplies,Binders,18,0%,63.92,16.74,-47.18,24,Male,Monday,6,2017,2
8CCOCIRV48,13K0Y3DP,12-10-2015,16-10-2015,Standard Class,9GNI1Z,Consumer,United States,San Francisco,California,West,4943dd85-adad-4356-8432-25084a68c9b1,Office Supplies,Art,1,2%,268.62,14.9,-253.72,49,Male,Monday,10,2015,3
BVXH56IIMR,MUBJEJNQ,12-10-2015,16-10-2015,Standard Class,IH311Y,Consumer,United States,San Francisco,California,West,171-7367545-7081126,Office Supplies,Storage,2,13%,74.93,21.39,-53.54,52,Female,Monday,10,2015,3
84HYGA41AH,OWSPH8FQ,03-09-2016,08-09-2016,Standard Class,JWOOUC,Corporate,United States,Durham,North Carolina,South,404-6522553-9345930,Office Supplies,Envelopes,5,38%,388.3,200.984,-187.316,59,Female,Saturday,9,2016,3
CD8HQS67XC,WMK8LZKS,13-11-2018,16-11-2018,First Class,ZGBTDR,Home Office,United States,Chicago,Illinois,Central,403-9950518-0349133,Office Supplies,Storage,11,5%,110.1,230.376,120.276,39,Female,Tuesday,11,2018,4
NYURA3PRCH,I2YD54MT,28-05-2018,30-05-2018,Second Class,S4TN79,Consumer,United States,Columbia,South Carolina,South,407-6599093-6553153,Furniture,Chairs,11,33%,121.09,301.96,180.87,28,Male,Monday,5,2018,2
JNRUEBYCJW,7WQCWE4Z,26-10-2018,02-11-2018,Standard Class,6FWFX4,Consumer,United States,Rochester,Minnesota,Central,403-3763475-2237125,Technology,Accessories,1,28%,499.24,19.99,-479.25,45,Male,Friday,10,2018,3
CG8TVTAVLT,44G4L7JU,26-10-2018,02-11-2018,Standard Class,6BJS93,Consumer,United States,Rochester,Minnesota,Central,405-1492294-0323520,Office Supplies,Labels,3,22%,424.14,6.16,-417.98,35,Male,Friday,10,2018,3
1E290VMC75,3SIN9FJ0,05-04-2017,10-04-2017,Second Class,UJ87K3,Home Office,United States,Houston,Texas,Central,403-1162895-2484367,Office Supplies,Storage,2,9%,328.76,158.368,-170.392,56,Female,Wednesday,4,2017,1
YOWWDHQ4MR,R7E0N8DY,17-09-2017,22-09-2017,Standard Class,EM3EJ4,Corporate,United States,Los Angeles,California,West,171-6833843-5473114,Office Supplies,Art,14,2%,323.85,20.1,-303.75,24,Female,Sunday,9,2017,3
DAHFFOGX9Z,1OGOKQGN,17-09-2017,22-09-2017,Standard Class,34XLPZ,Corporate,United States,Los Angeles,California,West,403-1477057-8253913,Technology,Phones,16,26%,303.05,73.584,-229.466,29,Male,Sunday,9,2017,3
VSY4Y1NSUA,7Y57PA3V,17-09-2017,22-09-2017,Standard Class,N8BRA6,Corporate,United States,Los Angeles,California,West,408-2114413-6089906,Office Supplies,Paper,18,26%,476.53,6.48,-470.05,66,Male,Sunday,9,2017,3
B417UYU2SU,BQE4QBCK,31-01-2016,05-02-2016,Second Class,VUHCQ3,Consumer,United States,Minneapolis,Minnesota,Central,405-1879750-2639521,Office Supplies,Paper,5,1%,430.79,12.96,-417.83,47,Male,Sunday,1,2016,0
AFZ61SCE8L,TKEUSXZQ,31-01-2016,05-02-2016,Second Class,3I4Q6U,Consumer,United States,Minneapolis,Minnesota,Central,406-5727754-5302723,Furniture,Furnishings,8,32%,309.25,53.34,-255.91,31,Male,Sunday,1,2016,0
ADESGBJ3FV,LSYALKTO,31-01-2016,05-02-2016,Second Class,047HQJ,Consumer,United States,Minneapolis,Minnesota,Central,405-0901744-8270705,Office Supplies,Binders,7,18%,76.95,32.96,-43.99,64,Female,Sunday,1,2016,0
LUX93K45OF,LQX8BVC0,06-11-2018,12-11-2018,Standard Class,BXQGO7,Home Office,United States,Portland,Oregon,West,405-9112089-3379536,Office Supplies,Binders,10,24%,190.69,5.682,-185.008,37,Male,Tuesday,11,2018,4
GR63A1TWZF,O9AA1EBL,09-11-2018,11-11-2018,Second Class,CV6W7F,Home Office,United States,New York City,New York,East,408-6357132-2310703,Furniture,Furnishings,16,23%,481.16,96.53,-384.63,25,Male,Friday,11,2018,4
Q0TACNB7T0,R0FSKMAD,17-06-2018,20-06-2018,First Class,70CMRP,Consumer,United States,San Francisco,California,West,406-5334922-9670748,Office Supplies,Binders,19,35%,69.55,51.312,-18.238,34,Female,Sunday,6,2018,2
QKVY9PJJ7A,CC6AK40H,06-09-2017,11-09-2017,Standard Class,7Q6X8Q,Corporate,United States,Saint Paul,Minnesota,Central,402-8519791-3706738,Office Supplies,Appliances,11,25%,58.59,77.88,19.29,24,Female,Wednesday,9,2017,3
28BCA4CGOD,46XC5DIQ,29-08-2017,02-09-2017,Standard Class,GJ43A0,Home Office,United States,Chicago,Illinois,Central,408-1830318-0357940,Office Supplies,Paper,19,19%,25.17,64.624,39.454,58,Male,Tuesday,8,2017,3
TU9J001KZ2,MSAKY7SH,29-08-2017,02-09-2017,Standard Class,43BY6N,Home Office,United States,Chicago,Illinois,Central,406-5103760-7326749,Technology,Accessories,3,10%,315.02,95.976,-219.044,33,Male,Tuesday,8,2017,3
MGTVK8RLDX,87KG0R79,29-08-2017,02-09-2017,Standard Class,X5BFI7,Home Office,United States,Chicago,Illinois,Central,402-7841951-1872363,Office Supplies,Binders,18,1%,164.44,1.788,-162.652,20,Female,Tuesday,8,2017,3
3NMZ8NB4DY,DK2QUIEV,01-12-2017,04-12-2017,Second Class,3QP3L9,Consumer,United States,Rochester,Minnesota,Central,408-7698765-2294756,Office Supplies,Paper,4,11%,452.34,23.92,-428.42,28,Male,Friday,12,2017,4
7MOC10WL7P,96S0QODP,13-11-2016,17-11-2016,Standard Class,S27MG1,Consumer,United States,Aurora,Colorado,West,404-1856281-9996319,Technology,Accessories,17,31%,485.87,238.896,-246.974,59,Male,Sunday,11,2016,4
NJ4GGL4NL0,85L88O0Q,13-11-2016,17-11-2016,Standard Class,05K29H,Consumer,United States,Aurora,Colorado,West,406-5406738-7113145,Furniture,Furnishings,13,13%,139.68,102.36,-37.32,60,Female,Sunday,11,2016,4
VUUBGZLR4D,JFT6ZIDF,13-11-2016,17-11-2016,Standard Class,RPLBNS,Consumer,United States,Aurora,Colorado,West,405-5257740-5301158,Office Supplies,Binders,4,34%,434.56,36.882,-397.678,58,Female,Sunday,11,2016,4
7AKF8PCZPT,R06BBUOC,23-11-2018,28-11-2018,Standard Class,KD0C57,Consumer,United States,Charlotte,North Carolina,South,4a466b79-9c3c-4f1c-b5ad-7917dd53f710,Technology,Accessories,14,47%,188.69,74.112,-114.578,47,Male,Friday,11,2018,4
DOVFMEEFEP,5OBS5D32,23-11-2018,28-11-2018,Standard Class,IMQXJB,Consumer,United States,Charlotte,North Carolina,South,405-2072502-4089911,Technology,Phones,3,13%,134.27,27.992,-106.278,28,Male,Friday,11,2018,4
6CELCELE3Y,G7W9BI4L,23-11-2018,28-11-2018,Standard Class,DJ315S,Consumer,United States,Charlotte,North Carolina,South,405-0882561-5952340,Office Supplies,Art,4,39%,302.48,3.304,-299.176,28,Female,Friday,11,2018,4
BZJCC000J4,L7IUU8D9,15-10-2016,20-10-2016,Standard Class,4CULRB,Home Office,United States,Orland Park,Illinois,Central,403-7266170-1163500,Technology,Accessories,18,33%,457.21,339.96,-117.25,49,Male,Saturday,10,2016,3
YWDUIGUFEV,YZPJL9TR,25-12-2018,30-12-2018,Standard Class,PHUWGM,Corporate,United States,New York City,New York,East,405-8114272-1687512,Furniture,Furnishings,13,20%,76.2,41.96,-34.24,35,Female,Tuesday,12,2018,4
3APGIHB09V,8D09L2SJ,03-11-2017,10-11-2017,Standard Class,OJW31S,Consumer,United States,Urbandale,Iowa,Central,171-6138639-1478731,Office Supplies,Art,7,35%,132.86,75.96,-56.9,53,Female,Friday,11,2017,4
50QI2GGF9T,6OMV2F3X,03-11-2017,10-11-2017,Standard Class,JB5G7E,Consumer,United States,Urbandale,Iowa,Central,405-4059216-4541150,Office Supplies,Binders,11,14%,28.15,27.24,-0.91,54,Male,Friday,11,2017,4
